
------------------------------
WEWV06, 74, 0,67.1827
WEWUJ8, 74, 67.1827,134.365
WEWUHU, 74, 134.365,188.112
WEWTRV, 74, 188.112,241.858
WEWTWT, 74, 241.858,295.604
WEWUAF, 74, 295.604,376.223
WEWUYU, 74, 376.223,429.97
Site_PM , 78, 0,450
WEWT0V, 32, 0,120.929
WEWRR5, 32, 120.929,228.421
WEWUBE, 32, 228.421,309.041
WEWUU9, 32, 309.041,389.66
Site_no_labor, 83, 0,450
WEWRCW, 84, 0,80.6193
WEWUL5, 84, 80.6193,134.366
WEWRCM, 84, 134.366,214.985
WEWRCP, 84, 214.985,268.731
WEWTVD, 84, 268.731,349.35
WEWRCU, 84, 349.35,403.096
WEWUMZ, 22, 0,80.6193
WEWUL3, 22, 80.6193,161.239
WEWQ7E, 22, 161.239,214.985
WEWURV, 22, 214.985,295.604
WEWV0A, 22, 295.604,376.223
WEWUMP, 22, 376.223,429.97
WEWRD0, 82, 0,67.1827
WEWRCY, 82, 67.1827,120.929
WEWUKH, 82, 120.929,201.548
WEWRCR, 82, 201.548,268.731
WEWTV8, 82, 268.731,322.477
WEWTY7, 82, 322.477,403.096
WEWRZ9, 76, 0,80.6193
WEWRUU, 76, 80.6193,161.239
WEWRV2, 76, 161.239,241.858
WEWRVG, 76, 241.858,322.477
WEWUNL, 76, 322.477,403.096
WEWT7D, 30, 0,53.7462
WEWT07, 30, 53.7462,161.239
WEWRR6, 30, 161.239,268.731
WEWUHT, 30, 268.731,322.477
WEWUH0, 30, 322.477,376.223
WEWTG0, 30, 376.223,429.97
WEWUJ4, 88, 0,53.7462
WEWV08, 88, 53.7462,120.929
WEWTFN, 88, 120.929,174.675
WEWTXU, 88, 174.675,268.731
WEWT81, 88, 268.731,322.477
WEWURR, 88, 322.477,403.096
WEWU28, 75, 0,53.7462
WEWTPD, 75, 53.7462,120.929
Temperature Transition95, 75, 120.929,180.929
WEWUVG, 75, 180.929,261.548
Temperature Transition20, 75, 261.548,321.548
WEWUVA, 75, 321.548,375.294
WEWTPA, 75, 375.294,429.041
WEWRZX, 40, 0,120.929
WEWT0J, 40, 120.929,201.548
WEWUZB, 40, 201.548,255.294
WEWURZ, 40, 255.294,335.914
WEWUKL, 40, 335.914,376.223
WEWVM1, 40, 376.223,429.97
Site_no_labor, 87, 0,450
WEWUN1, 86, 0,80.6193
WEWTFM, 86, 80.6193,147.802
WEWTXV, 86, 147.802,201.548
WEWU30, 86, 201.548,268.731
WEWTRU, 86, 268.731,322.477
WEWUUB, 86, 322.477,403.096
WEWT7C, 26, 0,94.0558
WEWRYZ, 26, 94.0558,201.548
WEWUGZ, 26, 201.548,282.168
WEWT82, 26, 282.168,335.914
WEWTHP, 26, 335.914,416.533
Site_no_labor, 73, 0,450
WEWUVW, 81, 0,80.6193
WEWURE, 81, 80.6193,188.112
WEWV0V, 81, 188.112,295.604
WEWQ6V, 81, 295.604,376.223
WEWT9U, 81, 376.223,429.97
WEWUW8, 34, 0,107.492
WEWUQZ, 34, 107.492,188.112
WEWT3W, 34, 188.112,268.731
WEWURL, 34, 268.731,349.35
WEWUBD, 34, 349.35,429.97
Site_no_labor, 80, 0,450
WEWUVL, 72, 0,67.1827
Temperature Transition20, 72, 67.1827,97.1827
WEWTYQ, 72, 97.1827,164.365
Temperature Transition50, 72, 164.365,194.365
WEWTLH, 72, 194.365,261.548
Temperature Transition20, 72, 261.548,291.548
WEWUV8, 72, 291.548,345.294
WEWRX7, 72, 345.294,399.041
WEWU8V, 72, 399.041,439.35
WEWUW5, 24, 0,107.492
WEWURA, 24, 107.492,214.985
WEWURQ, 24, 214.985,295.604
WEWV0Z, 24, 295.604,376.223
WEWTG3, 24, 376.223,429.97
Site_no_labor, 70, 0,450
WEWUW4, 89, 0,107.492
WEWT4H, 89, 107.492,161.239
WEWT3R, 89, 161.239,268.731
WEWURJ, 89, 268.731,349.35
WEWU9E, 89, 349.35,416.533
WEWUXD, 85, 0,107.492
WEWUZJ, 85, 107.492,174.675
WEWUZV, 85, 174.675,241.858
WEWUR8, 85, 241.858,322.477
WEWUBC, 85, 322.477,403.096
 hours filled: 120
