
------------------------------
WEWV06, 74, 0,73.6346
WEWUJ8, 74, 73.6346,147.269
WEWUHU, 74, 147.269,206.177
WEWTRV, 74, 206.177,265.085
WEWTWT, 74, 265.085,323.992
WEWUAF, 74, 323.992,412.354
Site_no_labor, 78, 0,450
WEWT0V, 32, 0,132.542
WEWRR5, 32, 132.542,250.358
WEWUBE, 32, 250.358,338.719
WEWUU9, 32, 338.719,427.081
Site_no_labor, 83, 0,450
WEWRCW, 84, 0,88.3615
WEWUL5, 84, 88.3615,147.269
WEWRCM, 84, 147.269,235.631
WEWRCP, 84, 235.631,294.539
WEWTVD, 84, 294.539,382.9
WEWUMZ, 22, 0,88.3615
WEWUL3, 22, 88.3615,176.723
WEWQ7E, 22, 176.723,235.631
WEWURV, 22, 235.631,323.992
WEWV0A, 22, 323.992,412.354
WEWRD0, 82, 0,73.6346
WEWRCY, 82, 73.6346,132.542
WEWUKH, 82, 132.542,220.904
WEWRCR, 82, 220.904,294.539
WEWTV8, 82, 294.539,353.446
WEWRCU, 82, 353.446,412.354
WEWRZ9, 76, 0,88.3615
WEWRUU, 76, 88.3615,176.723
WEWRV2, 76, 176.723,265.085
WEWRVG, 76, 265.085,353.446
WEWUY7, 76, 353.446,427.081
WEWT7D, 30, 0,58.9077
WEWT07, 30, 58.9077,176.723
WEWRR6, 30, 176.723,294.539
WEWUHT, 30, 294.539,353.446
WEWUH0, 30, 353.446,412.354
WEWUJ4, 88, 0,58.9077
WEWV08, 88, 58.9077,132.542
WEWTFN, 88, 132.542,191.45
WEWTXU, 88, 191.45,294.539
WEWT81, 88, 294.539,353.446
WEWUKL, 88, 353.446,397.627
WEWU28, 75, 0,58.9077
WEWTPD, 75, 58.9077,132.542
Temperature Transition95, 75, 132.542,192.542
WEWUVG, 75, 192.542,280.904
Temperature Transition20, 75, 280.904,340.904
WEWUVA, 75, 340.904,399.812
WEWRZX, 40, 0,132.542
WEWT0J, 40, 132.542,220.904
WEWUZB, 40, 220.904,279.812
WEWURZ, 40, 279.812,368.173
WEWUMP, 40, 368.173,427.081
Site_no_labor, 87, 0,450
WEWUN1, 86, 0,88.3615
WEWTFM, 86, 88.3615,161.996
WEWTXV, 86, 161.996,220.904
WEWU30, 86, 220.904,294.539
WEWTRU, 86, 294.539,353.446
WEWU9E, 86, 353.446,427.081
WEWT7C, 26, 0,103.088
WEWRYZ, 26, 103.088,220.904
WEWUGZ, 26, 220.904,309.265
WEWT82, 26, 309.265,368.173
WEWTG0, 26, 368.173,427.081
Site_no_labor, 73, 0,450
WEWUVW, 81, 0,88.3615
WEWURE, 81, 88.3615,206.177
WEWV0V, 81, 206.177,323.992
WEWQ6V, 81, 323.992,412.354
WEWUW8, 34, 0,117.815
WEWUQZ, 34, 117.815,206.177
WEWT3W, 34, 206.177,294.538
WEWURL, 34, 294.538,382.9
WEWU8V, 34, 382.9,427.081
Site_no_labor, 80, 0,450
WEWUVL, 72, 0,73.6346
Temperature Transition20, 72, 73.6346,103.635
WEWTYQ, 72, 103.635,177.269
Temperature Transition50, 72, 177.269,207.269
WEWTLH, 72, 207.269,280.904
Temperature Transition20, 72, 280.904,310.904
WEWUV8, 72, 310.904,369.812
WEWTPA, 72, 369.812,428.719
WEWUW5, 24, 0,117.815
WEWURA, 24, 117.815,235.631
WEWURQ, 24, 235.631,323.992
WEWV0Z, 24, 323.992,412.354
Site_PM , 70, 0,450
WEWUW4, 89, 0,117.815
WEWT4H, 89, 117.815,176.723
WEWT3R, 89, 176.723,294.539
WEWURJ, 89, 294.539,382.9
WEWU84, 89, 382.9,427.081
WEWUXD, 85, 0,117.815
WEWUZJ, 85, 117.815,191.45
WEWUZV, 85, 191.45,265.085
WEWUR8, 85, 265.085,353.446
WEWTYR, 85, 353.446,427.081
 hours filled: 120
