
------------------------------
WEWV06, 74, 0,83.25
WEWV08, 74, 83.25,166.5
WEWUHU, 74, 166.5,233.1
WEWTRV, 74, 233.1,299.7
WEWTWT, 74, 299.7,366.3
WEWTG3, 74, 366.3,432.9
Site_PM , 78, 0,450
WEWT0V, 32, 0,149.85
WEWRR5, 32, 149.85,283.05
WEWUHT, 32, 283.05,349.65
WEWUH0, 32, 349.65,416.25
WEWUVW, 83, 0,99.9
WEWT4H, 83, 99.9,166.5
WEWTXV, 83, 166.5,233.1
WEWU30, 83, 233.1,316.35
WEWT82, 83, 316.35,382.95
WEWU8V, 83, 382.95,432.95
WEWRCW, 84, 0,99.9
WEWUKH, 84, 99.9,199.8
WEWRCM, 84, 199.8,299.8
WEWTVD, 84, 299.8,399.8
WEWUMZ, 22, 0,99.9
WEWUL3, 22, 99.9,199.8
WEWUZB, 22, 199.8,266.4
WEWURZ, 22, 266.4,366.3
WEWUMP, 22, 366.3,432.9
WEWRD0, 82, 0,83.25
WEWUL5, 82, 83.25,149.85
WEWRCR, 82, 149.85,232.85
WEWRCP, 82, 232.85,299.85
WEWTV8, 82, 299.85,366.85
WEWRCU, 82, 366.85,433.85
WEWTPD, 76, 0,83.25
WEWUJ4, 76, 83.25,149.85
WEWRUU, 76, 149.85,249.75
WEWRV2, 76, 249.75,349.65
WEWUY7, 76, 349.65,432.9
WEWT7D, 30, 0,66.6
WEWT07, 30, 66.6,199.8
WEWRR6, 30, 199.8,333
WEWURQ, 30, 333,432.9
WEWUN1, 88, 0,99.9
WEWTFM, 88, 99.9,183.15
WEWTXU, 88, 183.15,299.7
WEWT81, 88, 299.7,366.3
WEWRX7, 88, 366.3,432.9
WEWU28, 75, 0,66.6
WEWRCY, 75, 66.6,133.2
WEWT0J, 75, 133.2,233.1
Temperature Transition95, 75, 233.1,293.1
WEWUVG, 75, 293.1,393
WEWRZX, 40, 0,149.85
WEWQ7E, 40, 149.85,216.45
WEWURV, 40, 216.45,316.35
WEWV0A, 40, 316.35,416.25
Site_no_labor, 87, 0,450
WEWUW4, 86, 0,133.2
WEWTFN, 86, 133.2,199.8
WEWUGZ, 86, 199.8,299.7
WEWTRU, 86, 299.7,366.3
WEWUYT, 86, 366.3,432.9
WEWT7C, 26, 0,116.55
WEWRYZ, 26, 116.55,249.75
WEWUBE, 26, 249.75,349.65
WEWUKL, 26, 349.65,399.6
Site_no_labor, 73, 0,450
WEWRZ9, 81, 0,99.9
WEWURE, 81, 99.9,233.1
WEWV0V, 81, 233.1,366.3
WEWT9U, 81, 366.3,432.9
WEWUW5, 34, 0,133.2
WEWUQZ, 34, 133.2,233.1
WEWT3R, 34, 233.1,366.3
WEWVM1, 34, 366.3,432.9
Site_no_labor, 80, 0,450
WEWUVL, 72, 0,83.25
WEWUJ8, 72, 83.25,166.5
Temperature Transition20, 72, 166.5,196.5
WEWTYQ, 72, 196.5,279.75
Temperature Transition50, 72, 279.75,309.75
WEWTLH, 72, 309.75,393
Site_no_labor, 24, 0,450
Site_no_labor, 70, 0,450
WEWUW8, 89, 0,133.2
WEWURA, 89, 133.2,266.4
WEWT3W, 89, 266.4,366.3
WEWRXD, 89, 366.3,432.9
WEWUXD, 85, 0,133.2
WEWUZJ, 85, 133.2,216.45
WEWUZV, 85, 216.45,299.7
WEWUR8, 85, 299.7,399.6
 hours filled: 123
