
------------------------------
1.000000: Removed WEWRCW from schedule and rescheduled --> Vehicle Issue
WEWV06, 74, 0,83.25
WEWV08, 74, 83.25,166.5
WEWUHU, 74, 166.5,233.1
WEWTRV, 74, 233.1,299.7
WEWTWT, 74, 299.7,366.3
WEWTG3, 74, 366.3,432.9
Site_PM , 78, 0,450
WEWT7D, 32, 0,66.6
WEWT07, 32, 66.6,199.8
WEWRR6, 32, 199.8,333
WEWT81, 32, 333,399.6
Site_no_labor, 83, 0,450
WEWRD0, 84, 0,83.25
WEWUKH, 84, 83.25,183.15
WEWRCM, 84, 183.15,283.15
WEWTV8, 84, 283.15,350.15
WEWRCU, 84, 350.15,417.15
WEWUMZ, 22, 0,99.9
WEWUL3, 22, 99.9,199.8
WEWUZB, 22, 199.8,266.4
WEWURZ, 22, 266.4,366.3
WEWVM1, 22, 366.3,432.9
WEWRCY, 82, 0,66.6
WEWUL5, 82, 66.6,133.2
WEWRCR, 82, 133.2,216.2
WEWRCP, 82, 216.2,283.2
WEWTVD, 82, 283.2,383.2
WEWTPD, 76, 0,83.25
WEWUJ8, 76, 83.25,166.5
WEWRUU, 76, 166.5,266.4
WEWRV2, 76, 266.4,366.3
WEWUH0, 76, 366.3,432.9
WEWT7C, 30, 0,116.55
WEWT0J, 30, 116.55,216.45
WEWUGZ, 30, 216.45,316.35
WEWUHT, 30, 316.35,382.95
WEWUW5, 88, 0,133.2
WEWTFM, 88, 133.2,216.45
WEWTXU, 88, 216.45,333
WEWTRU, 88, 333,399.6
WEWU28, 75, 0,66.6
WEWRYZ, 75, 66.6,199.8
Temperature Transition95, 75, 199.8,259.8
WEWUVG, 75, 259.8,359.7
WEWUKL, 75, 359.7,409.65
Site_no_labor, 87, 0,450
WEWRZX, 40, 0,149.85
WEWQ7E, 40, 149.85,216.45
WEWURV, 40, 216.45,316.35
WEWV0A, 40, 316.35,416.25
WEWUW8, 86, 0,133.2
WEWTFN, 86, 133.2,199.8
WEWTXV, 86, 199.8,266.4
WEWU30, 86, 266.4,349.65
WEWT82, 86, 349.65,416.25
Site_no_labor, 73, 0,450
WEWT0V, 26, 0,149.85
WEWRR5, 26, 149.85,283.05
WEWUBE, 26, 283.05,382.95
WEWU8V, 26, 382.95,432.95
WEWUN1, 34, 0,99.9
WEWUQZ, 34, 99.9,199.8
WEWT3W, 34, 199.8,299.7
WEWURL, 34, 299.7,399.6
WEWUVL, 81, 0,83.25
WEWUJ4, 81, 83.25,149.85
WEWURE, 81, 149.85,283.05
WEWV0V, 81, 283.05,416.25
Site_no_labor, 80, 0,450
WEWUVW, 72, 0,99.9
Temperature Transition20, 72, 99.9,129.9
WEWTYQ, 72, 129.9,213.15
Temperature Transition50, 72, 213.15,243.15
WEWTLH, 72, 243.15,326.4
Temperature Transition20, 72, 326.4,356.4
WEWUV8, 72, 356.4,423
WEWUXD, 24, 0,133.2
WEWURA, 24, 133.2,266.4
WEWURQ, 24, 266.4,366.3
WEWUMP, 24, 366.3,432.9
Site_no_labor, 70, 0,450
WEWUW4, 89, 0,133.2
WEWT4H, 89, 133.2,199.8
WEWT3R, 89, 199.8,333
WEWURJ, 89, 333,432.9
WEWRZ9, 85, 0,99.9
WEWUZJ, 85, 99.9,183.15
WEWUZV, 85, 183.15,266.4
WEWUR8, 85, 266.4,366.3
WEWUYU, 85, 366.3,432.9
 hours filled: 121

------------------------------
3.000000: Removed WEWTPD from schedule and rescheduled --> Site Down
WEWRZ9, 85, 0,99.9
WEWUZJ, 85, 99.9,183.15
WEWUZV, 85, 183.15,266.4
WEWUR8, 85, 266.4,366.3
WEWUYU, 85, 366.3,432.9
WEWUW4, 89, 0,133.2
WEWT4H, 89, 133.2,199.8
WEWT3R, 89, 199.8,333
WEWURJ, 89, 333,432.9
Site_no_labor, 70, 0,450
WEWUXD, 24, 0,133.2
WEWURA, 24, 133.2,266.4
WEWURQ, 24, 266.4,366.3
WEWUMP, 24, 366.3,432.9
WEWUVW, 72, 0,99.9
Temperature Transition20, 72, 99.9,129.9
WEWTYQ, 72, 129.9,213.15
Temperature Transition50, 72, 213.15,243.15
WEWTLH, 72, 243.15,326.4
Temperature Transition20, 72, 326.4,356.4
WEWUV8, 72, 356.4,423
Site_no_labor, 80, 0,450
WEWUN1, 34, 0,99.9
WEWUQZ, 34, 99.9,199.8
WEWT3W, 34, 199.8,299.7
WEWURL, 34, 299.7,399.6
WEWUVL, 81, 0,83.25
WEWUJ4, 81, 83.25,149.85
WEWURE, 81, 149.85,283.05
WEWV0V, 81, 283.05,416.25
Site_no_labor, 73, 0,450
WEWT0V, 26, 0,149.85
WEWRR5, 26, 149.85,283.05
WEWUBE, 26, 283.05,382.95
WEWU8V, 26, 382.95,432.95
WEWUW8, 86, 0,133.2
WEWTFN, 86, 133.2,199.8
WEWTXV, 86, 199.8,266.4
WEWU30, 86, 266.4,349.65
WEWT82, 86, 349.65,416.25
Site_no_labor, 87, 0,450
WEWRZX, 40, 0,149.85
WEWQ7E, 40, 149.85,216.45
WEWURV, 40, 216.45,316.35
WEWV0A, 40, 316.35,416.25
WEWU28, 75, 0,66.6
WEWRYZ, 75, 66.6,199.8
Temperature Transition95, 75, 199.8,259.8
WEWUVG, 75, 259.8,359.7
WEWUKL, 75, 359.7,409.65
WEWUW5, 88, 0,133.2
WEWTFM, 88, 133.2,216.45
WEWTXU, 88, 216.45,333
WEWTRU, 88, 333,399.6
WEWT7C, 30, 0,116.55
WEWT0J, 30, 116.55,216.45
WEWUGZ, 30, 216.45,316.35
WEWUHT, 30, 316.35,382.95
Site Issue Delay, 76, 0,8
WEWUJ8, 76, 8,91.25
WEWURG, 76, 91.25,191.15
WEWRVG, 76, 191.15,291.05
WEWTL8, 76, 291.05,390.95
WEWRCY, 82, 0,66.6
WEWUL5, 82, 66.6,133.2
WEWRCR, 82, 133.2,216.2
WEWRCP, 82, 216.2,283.2
WEWTVD, 82, 283.2,383.2
WEWUMZ, 22, 0,99.9
WEWUL3, 22, 99.9,199.8
WEWUZB, 22, 199.8,266.4
WEWURZ, 22, 266.4,366.3
WEWVM1, 22, 366.3,432.9
WEWRD0, 84, 0,83.25
WEWUKH, 84, 83.25,183.15
WEWRCM, 84, 183.15,283.15
WEWTV8, 84, 283.15,350.15
WEWRCU, 84, 350.15,417.15
Site_no_labor, 83, 0,450
WEWT7D, 32, 0,66.6
WEWT07, 32, 66.6,199.8
WEWRR6, 32, 199.8,333
WEWT81, 32, 333,399.6
Site_PM , 78, 0,450
WEWV06, 74, 0,83.25
WEWV08, 74, 83.25,166.5
WEWUHU, 74, 166.5,233.1
WEWTRV, 74, 233.1,299.7
WEWTWT, 74, 299.7,366.3
WEWTG3, 74, 366.3,432.9
 hours filled: 120

------------------------------
3.000000: Removed WEWUMZ from schedule and rescheduled --> RE Cancel
WEWV06, 74, 0,83.25
WEWV08, 74, 83.25,166.5
WEWUHU, 74, 166.5,233.1
WEWTRV, 74, 233.1,299.7
WEWTWT, 74, 299.7,366.3
WEWTG3, 74, 366.3,432.9
Site_PM , 78, 0,450
WEWT7D, 32, 0,66.6
WEWT07, 32, 66.6,199.8
WEWRR6, 32, 199.8,333
WEWT81, 32, 333,399.6
Site_no_labor, 83, 0,450
