
------------------------------
3.000000: Removed WEWU9E from schedule and rescheduled --> Vehicle Issue
WEWUAF, 74, 0,99.9
WEWUV6, 74, 99.9,199.8
WEWUVH, 74, 199.8,299.7
WEWV0Q, 74, 299.7,382.95
Site_PM , 78, 0,450
WEWUU9, 32, 0,99.9
WEWUVR, 32, 99.9,233.1
WEWUVQ, 32, 233.1,316.35
WEWUUP, 32, 316.35,416.25
Site_no_labor, 83, 0,450
Site_no_labor, 84, 0,450
WEWV0Z, 22, 0,99.9
WEWRWP, 22, 99.9,266.4
WEWUZ2, 22, 266.4,366.3
WEWQ7C, 22, 366.3,433.3
Site_no_labor, 82, 0,450
WEWRVG, 76, 0,99.9
WEWUNL, 76, 99.9,199.8
WEWTL8, 76, 199.8,299.7
WEWURG, 76, 299.7,399.6
WEWURR, 30, 0,99.9
WEWTG0, 30, 99.9,166.5
WEWUVN, 30, 166.5,299.7
WEWUX0, 30, 299.7,366.3
WEWTVB, 30, 366.3,433.3
WEWTYR, 88, 0,83.25
WEWRPC, 88, 83.25,249.75
WEWUZZ, 88, 249.75,349.65
WEWTH0, 88, 349.65,416.65
WEWTHP, 75, 0,99.9
Temperature Transition95, 75, 99.9,159.9
WEWRP6, 75, 159.9,243.15
WEWUVT, 75, 243.15,326.4
WEWVPY, 75, 326.4,426.3
Site_no_labor, 87, 0,450
WEWUUB, 40, 0,99.9
WEWUVZ, 40, 99.9,249.75
WEWUTF, 40, 249.75,333
WEWVA5, 40, 333,432.9
WEWUBC, 86, 0,99.9
WEWRX1, 86, 99.9,266.4
WEWTC1, 86, 266.4,349.65
WEWUYU, 86, 349.65,416.25
WEWUV8, 73, 0,66.6
WEWUMR, 73, 66.6,199.8
WEWRVV, 73, 199.8,299.7
WEWUQA, 73, 299.7,382.95
WEWU84, 73, 382.95,432.95
WEWT6F, 26, 0,466.2
WEWURJ, 34, 0,99.9
WEWTK1, 34, 99.9,233.1
WEWUKW, 34, 233.1,333
WEWVM3, 34, 333,432.9
WEWQ6V, 81, 0,99.9
WEWRW9, 81, 99.9,266.4
WEWUQP, 81, 266.4,399.6
Site_no_labor, 80, 0,450
WEWUVA, 72, 0,66.6
WEWUPJ, 72, 66.6,166.5
WEWUNT, 72, 166.5,266.4
WEWUB0, 72, 266.4,333
WEWV71, 72, 333,416.25
WEWURL, 24, 0,99.9
WEWRNZ, 24, 99.9,266.4
WEWUQF, 24, 266.4,366.3
WEWTZE, 24, 366.3,433.3
WEWTT5, 70, 0,399.6
WEWTA1, 89, 0,99.9
WEWUQM, 89, 99.9,199.8
WEWUUJ, 89, 199.8,299.7
WEWUUM, 89, 299.7,399.6
WEWUBD, 85, 0,99.9
WEWUY3, 85, 99.9,183.15
WEWUZW, 85, 183.15,266.4
WEWUQC, 85, 266.4,349.65
WEWUA0, 85, 349.65,416.65
 hours filled: 124

------------------------------
185.000000: Removed WEWUY3 from schedule and rescheduled --> Site Down
WEWUBD, 85, 0,99.9
WEWUZW, 85, 183.15,266.4
Site Issue Delay, 85, 99.9,161.9
WEWUTF, 85, 161.9,245.15
WEWUZ2, 85, 245.15,345.05
WEWUYU, 85, 345.05,411.65
WEWTA1, 89, 0,99.9
WEWUQM, 89, 99.9,199.8
WEWUUJ, 89, 199.8,299.7
WEWUQC, 89, 299.7,382.95
WEWTT5, 70, 0,399.6
WEWURL, 24, 0,99.9
WEWRNZ, 24, 99.9,266.4
WEWUUP, 24, 266.4,366.3
WEWTZE, 24, 366.3,433.3
WEWUVA, 72, 0,66.6
WEWUPJ, 72, 66.6,166.5
WEWUNT, 72, 166.5,266.4
WEWUB0, 72, 266.4,333
WEWV71, 72, 333,416.25
Site_no_labor, 80, 0,450
WEWURJ, 34, 0,99.9
WEWTK1, 34, 99.9,233.1
WEWUKW, 34, 233.1,333
WEWVM3, 34, 333,432.9
WEWQ6V, 81, 0,99.9
WEWRW9, 81, 99.9,266.4
WEWUQP, 81, 266.4,399.6
WEWUV8, 73, 0,66.6
WEWUMR, 73, 66.6,199.8
WEWRVV, 73, 199.8,299.7
WEWUQA, 73, 299.7,382.95
WEWU84, 73, 382.95,432.95
WEWT6F, 26, 0,466.2
WEWUBC, 86, 0,99.9
WEWRX1, 86, 99.9,266.4
WEWUUM, 86, 266.4,366.3
WEWUDT, 86, 366.3,433.3
Site_no_labor, 87, 0,450
WEWUUB, 40, 0,99.9
WEWUVZ, 40, 99.9,249.75
WEWUZZ, 40, 249.75,349.65
WEWTFY, 40, 349.65,416.65
WEWTHP, 75, 0,99.9
Temperature Transition95, 75, 99.9,159.9
WEWRP6, 75, 159.9,243.15
WEWUVT, 75, 243.15,326.4
WEWPAH, 75, 326.4,426.3
WEWTYR, 88, 0,83.25
WEWRPC, 88, 83.25,249.75
WEWTC1, 88, 249.75,333
WEWV6W, 88, 333,432.9
WEWURR, 30, 0,99.9
WEWTG0, 30, 99.9,166.5
WEWUVN, 30, 166.5,299.7
WEWUX0, 30, 299.7,366.3
WEWTHW, 30, 366.3,433.3
WEWRVG, 76, 0,99.9
WEWUNL, 76, 99.9,199.8
WEWUPB, 76, 199.8,299.7
WEWTL8, 76, 299.7,399.6
Site_no_labor, 82, 0,450
WEWV0Z, 22, 0,99.9
WEWRWP, 22, 99.9,266.4
WEWUQF, 22, 266.4,366.3
WEWQ7C, 22, 366.3,433.3
Site_no_labor, 84, 0,450
Site_no_labor, 83, 0,450
WEWUU9, 32, 0,99.9
WEWUVR, 32, 99.9,233.1
WEWUVQ, 32, 233.1,316.35
WEWVPY, 32, 316.35,416.25
Site_PM , 78, 0,450
WEWUAF, 74, 0,99.9
WEWUV6, 74, 99.9,199.8
WEWUVH, 74, 199.8,299.7
WEWV0Q, 74, 299.7,382.95
 hours filled: 124

------------------------------
269.399994: Removed WEWUB0 from schedule and rescheduled --> RE Cancel
WEWUAF, 74, 0,99.9
WEWUV6, 74, 99.9,199.8
WEWUVH, 74, 199.8,299.7
WEWUQC, 74, 299.7,382.95
Site_PM , 78, 0,450
WEWUU9, 32, 0,99.9
WEWUVR, 32, 99.9,233.1
WEWUVQ, 32, 233.1,316.35
WEWVPY, 32, 316.35,416.25
Site_no_labor, 83, 0,450
Site_no_labor, 84, 0,450
WEWV0Z, 22, 0,99.9
WEWRWP, 22, 99.9,266.4
WEWUQF, 22, 266.4,366.3
WEWTZE, 22, 366.3,433.3
Site_no_labor, 82, 0,450
WEWRVG, 76, 0,99.9
WEWUNL, 76, 99.9,199.8
WEWUPB, 76, 199.8,299.7
WEWURG, 76, 299.7,399.6
WEWURR, 30, 0,99.9
WEWTG0, 30, 99.9,166.5
WEWUVN, 30, 166.5,299.7
WEWUX0, 30, 299.7,366.3
WEWTFY, 30, 366.3,433.3
WEWTYR, 88, 0,83.25
WEWRPC, 88, 83.25,249.75
WEWTC1, 88, 249.75,333
WEWV6W, 88, 333,432.9
WEWTHP, 75, 0,99.9
Temperature Transition95, 75, 99.9,159.9
WEWRP6, 75, 159.9,243.15
WEWUVT, 75, 243.15,326.4
WEWPAH, 75, 326.4,426.3
Site_no_labor, 87, 0,450
WEWUUB, 40, 0,99.9
WEWUVZ, 40, 99.9,249.75
WEWUZZ, 40, 249.75,349.65
WEWUYU, 40, 349.65,416.25
WEWUBC, 86, 0,99.9
WEWRX1, 86, 99.9,266.4
WEWUUM, 86, 266.4,366.3
WEWUDT, 86, 366.3,433.3
WEWUV8, 73, 0,66.6
WEWUMR, 73, 66.6,199.8
WEWRVV, 73, 199.8,299.7
WEWV0Q, 73, 299.7,382.95
WEWU84, 73, 382.95,432.95
WEWT6F, 26, 0,466.2
WEWURJ, 34, 0,99.9
WEWTK1, 34, 99.9,233.1
WEWUKW, 34, 233.1,333
WEWVM3, 34, 333,432.9
WEWQ6V, 81, 0,99.9
WEWRW9, 81, 99.9,266.4
WEWUQP, 81, 266.4,399.6
Site_no_labor, 80, 0,450
WEWUVA, 72, 0,66.6
WEWUPJ, 72, 66.6,166.5
WEWUNT, 72, 166.5,266.4
WEWUQA, 72, 266.4,349.65
WEWT4F, 72, 349.65,416.65
WEWURL, 24, 0,99.9
WEWRNZ, 24, 99.9,266.4
WEWUUP, 24, 266.4,366.3
WEWQ7C, 24, 366.3,433.3
WEWTT5, 70, 0,399.6
WEWTA1, 89, 0,99.9
WEWUQM, 89, 99.9,199.8
WEWUUJ, 89, 199.8,299.7
WEWVN0, 89, 299.7,432.9
WEWUBD, 85, 0,99.9
WEWUZW, 85, 183.15,266.4
Site Issue Delay, 85, 99.9,161.9
WEWUTF, 85, 161.9,245.15
WEWUZ2, 85, 245.15,345.05
WEWV71, 85, 345.05,428.3
 hours filled: 125

------------------------------
269.399994: Removed WEWUB0 from schedule and rescheduled --> RE Cancel
WEWUBD, 85, 0,99.9
WEWUZW, 85, 183.15,266.4
Site Issue Delay, 85, 99.9,161.9
WEWUTF, 85, 161.9,245.15
WEWUZ2, 85, 245.15,345.05
WEWUYU, 85, 345.05,411.65
WEWTA1, 89, 0,99.9
WEWUQM, 89, 99.9,199.8
WEWUUJ, 89, 199.8,299.7
WEWUQC, 89, 299.7,382.95
WEWU84, 89, 382.95,432.95
WEWTT5, 70, 0,399.6
WEWURL, 24, 0,99.9
WEWRNZ, 24, 99.9,266.4
WEWUUP, 24, 266.4,366.3
WEWQ7C, 24, 366.3,433.3
WEWUVA, 72, 0,66.6
WEWUPJ, 72, 66.6,166.5
WEWUNT, 72, 166.5,266.4
WEWUQA, 72, 266.4,349.65
WEWT4F, 72, 349.65,416.65
Site_no_labor, 80, 0,450
WEWURJ, 34, 0,99.9
WEWTK1, 34, 99.9,233.1
WEWUKW, 34, 233.1,333
WEWV6W, 34, 333,432.9
WEWQ6V, 81, 0,99.9
WEWRW9, 81, 99.9,266.4
WEWUQP, 81, 266.4,399.6
WEWUV8, 73, 0,66.6
WEWUMR, 73, 66.6,199.8
WEWRVV, 73, 199.8,299.7
WEWV0Q, 73, 299.7,382.95
WEWT6F, 26, 0,466.2
WEWUBC, 86, 0,99.9
WEWRX1, 86, 99.9,266.4
WEWUUM, 86, 266.4,366.3
WEWUDT, 86, 366.3,433.3
Site_no_labor, 87, 0,450
WEWUUB, 40, 0,99.9
WEWUVZ, 40, 99.9,249.75
WEWUZZ, 40, 249.75,349.65
WEWTFY, 40, 349.65,416.65
WEWTHP, 75, 0,99.9
Temperature Transition95, 75, 99.9,159.9
WEWRP6, 75, 159.9,243.15
WEWUVT, 75, 243.15,326.4
WEWV71, 75, 326.4,409.65
WEWTYR, 88, 0,83.25
