
------------------------------
Site_no_labor , 74, 0,450
Site_Down_2, 58, 0,450
Site_Down_3, 78, 0,450
WEWT70, 32, 0,219.9
WEWRYR, 32, 219.9,353.1
WEWTVK, 32, 353.1,436.35
Site_Down_4, 83, 0,450
Site_Main_1, 84, 0,450
Site_no_labor , 22, 0,82.5
WEWTVN, 22, 82.5,182.4
WEWTVP, 22, 182.4,282.3
WEWTJ9, 22, 282.3,382.2
WEWTNZ, 22, 382.2,448.8
Site_no_labor , 82, 0,357.5
WEWRCP, 82, 357.5,424.1
WEWRUR, 76, 0,99.9
WEWRV0, 76, 99.9,199.8
WEWRVE, 76, 199.8,299.7
WEWTL4, 76, 299.7,399.6
WEWU84, 76, 399.6,449.55
Site_Down_1, 30, 0,450
WEWTGZ, 88, 0,99.9
WEWTH0, 88, 99.9,166.5
WEWR94, 88, 166.5,266.4
WEWUDW, 88, 266.4,366.3
WEWUDU, 88, 366.3,432.9
WEWRCM, 75, 0,99.9
WEWTYZ, 75, 99.9,199.8
WEWRP3, 75, 199.8,283.05
WEWRCR, 75, 283.05,366.3
WEWT48, 75, 366.3,432.9
WEWTFY, 40, 0,66.6
WEWT0T, 40, 66.6,216.45
WEWRZU, 40, 216.45,366.3
WEWR4Z, 40, 366.3,432.9
WEWT9Y, 87, 0,99.9
WEWTQR, 87, 99.9,199.8
WEWTJX, 87, 199.8,333
WEWTJM, 87, 333,432.9
WEWTNU, 86, 0,99.9
WEWTV8, 86, 99.9,166.5
WEWT47, 86, 166.5,266.4
WEWUDT, 86, 266.4,333
WEWQ7X, 86, 333,399.6
WEWU8V, 86, 399.6,449.55
WEWR4Y, 26, 0,99.9
WEWTVB, 26, 99.9,166.5
WEWTHW, 26, 166.5,233.1
WEWRR1, 26, 233.1,366.3
WEWTVM, 26, 366.3,449.55
WEWT1B, 73, 0,83.25
WEWT1C, 73, 83.25,166.5
WEWQ7Y, 73, 166.5,233.1
WEWTTL, 73, 233.1,299.7
WEWTZA, 73, 299.7,366.3
WEWTY4, 73, 366.3,432.9
WEWT9R, 81, 0,66.6
WEWRXB, 81, 66.6,133.2
WEWRX5, 81, 133.2,199.8
WEWR7X, 81, 199.8,283.05
WEWTYK, 81, 283.05,382.95
WEWTYW, 81, 382.95,449.55
WEWTVV, 34, 0,83.25
WEWTVQ, 34, 83.25,216.45
WEWT3P, 34, 216.45,349.65
WEWR8H, 34, 349.65,449.55
WEWTZ5, 80, 0,83.25
WEWTNG, 80, 83.25,216.45
WEWTYM, 80, 216.45,349.65
WEWTZE, 80, 349.65,416.25
WEWTLD, 72, 0,83.25
WEWUB5, 72, 83.25,149.85
WEWTPA, 72, 149.85,216.45
WEWTMY, 72, 216.45,316.35
WEWTUK, 72, 316.35,416.25
WEWTVR, 24, 0,133.2
WEWTZW, 24, 133.2,266.4
WEWT3U, 24, 266.4,366.3
WEWQ7C, 24, 366.3,432.9
WEWTVD, 70, 0,99.9
WEWTY7, 70, 99.9,199.8
WEWRCU, 70, 199.8,266.4
WEWTT1, 70, 266.4,366.3
WEWTG1, 70, 366.3,432.9
WEWTVW, 89, 0,83.25
WEWT4F, 89, 83.25,149.85
WEWRNX, 89, 149.85,316.35
WEWTUG, 89, 316.35,416.25
WEWRWZ, 85, 0,166.5
WEWRW6, 85, 166.5,333
WEWTQY, 85, 333,432.9
 hours filled: 129
