
------------------------------
WEWTTL, 74, 0,66.6
WEWTG1, 74, 66.6,133.2
WEWTQP, 74, 133.2,233.1
WEWTV1, 74, 233.1,333
WEWU1F, 74, 333,432.9
Site_Down_2, 58, 0,450
Site_Down_3, 78, 0,450
Site_no_labor, 32, 0,450
WEWR94, 83, 0,99.9
WEWQ7X, 83, 99.9,166.5
WEWTJM, 83, 166.5,266.4
WEWTZK, 83, 266.4,349.65
WEWTRD, 83, 349.65,432.9
WEWRCR, 84, 0,83.25
WEWTVN, 22, 0,99.9
WEWTVP, 22, 99.9,199.8
WEWRWM, 22, 199.8,366.3
WEWN1N, 22, 366.3,432.9
Site_Main_1, 82, 0,450
WEWRVE, 76, 0,99.9
WEWR8H, 76, 99.9,199.8
WEWU11, 76, 199.8,299.7
WEWTQG, 76, 299.7,399.6
Site_Down_1, 30, 0,450
WEWTV8, 88, 0,66.6
WEWT47, 88, 66.6,166.5
WEWQ7C, 88, 166.5,233.1
WEWTZN, 88, 233.1,316.35
WEWTNQ, 88, 316.35,416.25
Site_no_labor, 75, 0,450
WEWTVJ, 40, 0,133.2
WEWTVL, 40, 133.2,266.4
WEWT05, 40, 266.4,399.6
WEWRX5, 87, 0,66.6
WEWRPA, 87, 66.6,233.1
WEWTQU, 87, 233.1,333
WEWTHK, 87, 333,432.9
Site_no_labor, 86, 0,450
WEWT70, 26, 0,219.9
WEWRR1, 26, 219.9,353.1
WEWTVK, 26, 353.1,436.35
WEWQ7Y, 73, 0,66.6
WEWTZA, 73, 66.6,133.2
WEWTNZ, 73, 133.2,199.8
WEWTYW, 73, 199.8,266.4
WEWTY4, 73, 266.4,333
WEWTYY, 73, 333,432.9
WEWTNG, 81, 0,133.2
WEWTYK, 81, 133.2,233.1
WEWTQW, 81, 233.1,333
WEWTHE, 81, 333,432.9
WEWT3P, 34, 0,133.2
WEWTJ9, 34, 133.2,233.1
WEWTY2, 34, 233.1,333
WEWR9L, 34, 333,416.25
WEWTYM, 80, 0,133.2
WEWTZE, 80, 133.2,199.8
WEWTQJ, 80, 199.8,299.7
WEWTQY, 80, 299.7,399.6
WEWTMY, 72, 0,99.9
WEWT48, 72, 99.9,166.5
WEWRZ7, 72, 166.5,266.4
WEWTNM, 72, 266.4,366.3
WEWQZ7, 72, 366.3,432.9
WEWTVR, 24, 0,133.2
WEWR9T, 24, 133.2,233.1
WEWTUD, 24, 233.1,333
WEWTUM, 24, 333,432.9
WEWTT1, 70, 0,99.9
WEWU0Z, 70, 99.9,199.8
WEWTY6, 70, 199.8,299.7
WEWRVT, 70, 299.7,399.6
WEWT3U, 89, 0,99.9
WEWR9C, 89, 99.9,199.8
WEWTQL, 89, 199.8,299.7
WEWQ6T, 89, 299.7,399.6
Site_no_labor, 85, 0,450
 hours filled: 112
