
------------------------------
WEWUVH, 74, 0,84.4657
WEWUUJ, 74, 84.4657,168.931
WEWTC1, 74, 168.931,239.319
WEWPAH, 74, 239.319,323.785
WEWUDU, 74, 323.785,380.096
WEWQ7Y, 74, 380.096,436.406
Site_PM , 78, 0,450
WEWTYR, 32, 0,70.3881
WEWUVQ, 32, 70.3881,140.776
WEWUKW, 32, 140.776,225.242
WEWVPY, 32, 225.242,309.707
WEWTVB, 32, 309.707,366.018
WEWTVK, 32, 366.018,436.406
Site_no_labor, 83, 0,450
Site_no_labor, 84, 0,450
WEWTT5, 22, 0,337.863
WEWTVN, 22, 337.863,422.328
Site_no_labor, 82, 0,450
WEWUPB, 76, 0,84.4657
WEWTL8, 76, 84.4657,168.931
WEWURG, 76, 168.931,253.397
WEWRUR, 76, 253.397,337.863
WEWRV0, 76, 337.863,422.328
WEWUVZ, 30, 0,126.699
WEWUZW, 30, 126.699,197.087
WEWUUM, 30, 197.087,281.552
WEWR4Y, 30, 281.552,366.018
WEWTHW, 30, 366.018,422.328
WEWTA1, 88, 0,84.4657
WEWRX1, 88, 84.4657,225.242
WEWUYT, 88, 225.242,281.552
WEWTGZ, 88, 281.552,366.018
WEWTH0, 88, 366.018,422.328
WEWRP6, 75, 0,70.3881
WEWUVR, 75, 70.3881,183.009
WEWUX0, 75, 183.009,239.319
Temperature Transition95, 75, 239.319,299.319
WEWTYZ, 75, 299.319,383.785
WEWUVN, 40, 0,112.621
WEWUVT, 40, 112.621,183.009
WEWULL, 40, 183.009,295.63
WEWTFY, 40, 295.63,351.94
WEWT0G, 40, 351.94,436.406
Site_no_labor, 87, 0,450
WEWRWP, 86, 0,140.776
WEWUZ2, 86, 140.776,225.242
WEWVM3, 86, 225.242,309.707
WEWTNU, 86, 309.707,394.173
WEWT6F, 26, 0,394.173
WEWUY7, 73, 0,70.3881
WEWRVV, 73, 70.3881,154.854
WEWUQP, 73, 154.854,267.475
WEWT1B, 73, 267.475,337.863
WEWT1C, 73, 337.863,408.251
WEWRXD, 81, 0,56.3104
WEWUMR, 81, 56.3104,168.931
WEWUUP, 81, 168.931,253.397
WEWV79, 81, 253.397,337.863
WEWT9R, 81, 337.863,394.173
WEWU84, 81, 394.173,436.406
WEWRNZ, 34, 0,140.776
WEWUZZ, 34, 140.776,225.242
WEWVN0, 34, 225.242,337.863
WEWTVV, 34, 337.863,408.251
Site_no_labor, 80, 0,450
WEWUNT, 72, 0,84.4657
WEWUPJ, 72, 84.4657,168.931
WEWUB0, 72, 168.931,225.242
WEWV71, 72, 225.242,295.63
Temperature Transition50, 72, 295.63,325.63
WEWTLD, 72, 325.63,396.018
WEWRPC, 24, 0,140.776
WEWUTF, 24, 140.776,211.164
WEWV0Q, 24, 211.164,281.552
WEWRNX, 24, 281.552,422.328
WEWUQM, 70, 0,84.4657
WEWUV6, 70, 84.4657,168.931
WEWUQA, 70, 168.931,239.319
WEWV6W, 70, 239.319,323.785
WEWTT1, 70, 323.785,408.251
WEWTK1, 89, 0,112.621
WEWUY3, 89, 112.621,183.009
WEWUQF, 89, 183.009,267.475
WEWT9Y, 89, 267.475,351.94
WEWTVW, 89, 351.94,422.328
WEWRW9, 85, 0,140.776
WEWUQC, 85, 140.776,211.164
WEWVA5, 85, 211.164,295.63
WEWU8L, 85, 295.63,351.94
WEWUA0, 85, 351.94,408.251
 hours filled: 122
